Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveCaso|IdentificadorCaso|ComplementoCaso|FechaPagoReal
3251|2000161|160|73181599|1|EN|X|NOM-050-SCFI-2004|2022-01-13 16:09:00|
3251|2000161|160|73181606|3|MA| ||2022-01-13 16:09:00|
3251|2000163|160|73181599|1|MA| ||2022-01-13 16:07:01|
3251|2000099|160|73181599|2|EN|X|NOM-050-SCFI-2004|2022-01-07 16:17:01|
3251|2000161|160|73182302|4|EN|X|NOM-050-SCFI-2004|2022-01-13 16:09:00|
3251|2000164|160|73181599|2|EN|X|NOM-050-SCFI-2004|2022-01-13 16:08:00|
3251|2000164|160|73181606|3|MA| ||2022-01-13 16:08:00|
3251|2000165|160|73181599|2|MA| ||2022-01-13 16:08:01|
3251|2000163|160|73269099|6|MA| ||2022-01-13 16:07:01|
3251|2000162|160|73181599|1|EN|X|NOM-050-SCFI-2004|2022-01-13 17:02:02|
3251|2000099|160|73181599|1|MA| ||2022-01-07 16:17:01|
3251|2000161|160|73181599|1|MA| ||2022-01-13 16:09:00|
3251|2000100|160|73182302|4|EN|X|NOM-050-SCFI-2004|2022-01-07 16:32:11|
3251|2000022|160|73181606|2|MA| ||2022-01-04 16:25:02|
3251|2000162|160|73182302|3|EN|X|NOM-050-SCFI-2004|2022-01-13 17:02:02|
3251|2000162|160|73182302|3|MA| ||2022-01-13 17:02:02|
3251|2000162|160|73181606|2|EN|X|NOM-050-SCFI-2004|2022-01-13 17:02:02|
3251|2000100|160|73182302|4|MA| ||2022-01-07 16:32:11|
3251|2000026|160|73181606|3|MA| ||2022-01-04 13:53:03|
3251|2000165|160|73181606|3|MA| ||2022-01-13 16:08:01|
3251|2000165|160|73181606|3|EN|X|NOM-050-SCFI-2004|2022-01-13 16:08:01|
3251|2000164|160|73181606|3|EN|X|NOM-050-SCFI-2004|2022-01-13 16:08:00|
3251|2000163|160|73181606|2|EN|X|NOM-050-SCFI-2004|2022-01-13 16:07:01|
3251|2000163|160|87082999|7|MA| ||2022-01-13 16:07:01|
3251|2000162|160|73181606|2|MA| ||2022-01-13 17:02:02|
3251|2000163|160|73182999|5|MA| ||2022-01-13 16:07:01|
3251|2000161|160|73181606|3|EN|X|NOM-050-SCFI-2004|2022-01-13 16:09:00|
3251|2000165|160|73181606|4|MA| ||2022-01-13 16:08:01|
3251|2000165|160|73181606|4|EN|X|NOM-050-SCFI-2004|2022-01-13 16:08:01|
3251|2000025|160|73182202|3|MA| ||2022-01-04 16:26:01|
3251|2000021|160|73181606|3|MA| ||2022-01-04 16:25:01|
3129|1007238|170|73269099|5|XP|C6|UM|2022-01-14 16:21:01|
3251|2000165|160|73269099|5|MA| ||2022-01-13 16:08:01|
3251|2000020|160|73269099|3|MA| ||2022-01-04 13:53:02|
3251|2000099|160|73181606|3|MA| ||2022-01-07 16:17:01|
3251|2000165|160|73181599|2|EN|X|NOM-050-SCFI-2004|2022-01-13 16:08:01|
3251|2000161|160|73269099|5|MA| ||2022-01-13 16:09:00|
3251|2000164|160|73181599|1|EN|X|NOM-050-SCFI-2004|2022-01-13 16:08:00|
3251|2000100|160|73269099|5|MA| ||2022-01-07 16:32:11|
3251|2000165|160|73181599|1|MA| ||2022-01-13 16:08:01|
3251|2000164|160|73181599|1|MA| ||2022-01-13 16:08:00|
3251|2000164|160|73181599|2|MA| ||2022-01-13 16:08:00|
3251|2000161|160|73181599|2|EN|X|NOM-050-SCFI-2004|2022-01-13 16:09:00|
3129|1007247|170|73269099|5|XP|C6|UM|2022-01-13 12:08:00|
3251|2000165|160|73181599|1|EN|X|NOM-050-SCFI-2004|2022-01-13 16:08:01|
3251|2000100|160|94019099|6|MA| ||2022-01-07 16:32:11|
3251|2000025|160|73182202|3|EN|X|NOM-050-SCFI-2004|2022-01-04 16:26:01|
3251|2000019|160|73181606|2|EN|X|NOM-050-SCFI-2004|2022-01-04 13:53:01|
3251|2000024|160|73181599|1|EN|X|NOM-050-SCFI-2004|2022-01-04 16:26:01|
3251|2000021|160|73181599|2|EN|X|NOM-050-SCFI-2004|2022-01-04 16:25:01|
3251|2000026|160|73181599|2|MA| ||2022-01-04 13:53:03|
3251|2000026|160|73181599|1|MA| ||2022-01-04 13:53:03|
3251|2000163|160|73181606|2|MA| ||2022-01-13 16:07:01|
3251|2000161|160|73182302|4|MA| ||2022-01-13 16:09:00|
3251|2000164|160|87089412|5|EN|X|NOM-050-SCFI-2004|2022-01-13 16:08:00|
3129|1007244|170|73269099|13|XP|C6|UM|2022-01-17 18:23:00|
3251|2000100|160|73181606|3|MA| ||2022-01-07 16:32:11|
3129|1007238|170|73269099|6|XP|C6|UM|2022-01-14 16:21:01|
3251|2000162|160|73269099|4|MA| ||2022-01-13 17:02:02|
3251|2000027|160|73181599|1|EN|X|NOM-050-SCFI-2004|2022-01-04 14:00:01|
3251|2000026|160|73182302|4|MA| ||2022-01-04 13:53:03|
3251|2000026|160|73181606|3|EN|X|NOM-050-SCFI-2004|2022-01-04 13:53:03|
3251|2000099|160|73181606|3|EN|X|NOM-050-SCFI-2004|2022-01-07 16:17:01|
3251|2000020|160|73181606|2|MA| ||2022-01-04 13:53:02|
3251|2000022|160|73269099|3|MA| ||2022-01-04 16:25:02|
3251|2000024|160|73181606|2|EN|X|NOM-050-SCFI-2004|2022-01-04 16:26:01|
3129|1007246|170|73269099|3|XP|C6|UM|2022-01-17 09:26:00|
3251|2000019|160|73181599|1|EN|X|NOM-050-SCFI-2004|2022-01-04 13:53:01|
3251|2000024|160|73181606|2|MA| ||2022-01-04 16:26:01|
3251|2000164|160|73182999|4|MA| ||2022-01-13 16:08:00|
3251|2000099|160|73182999|4|MA| ||2022-01-07 16:17:01|
3251|2000022|160|73181599|1|EN|X|NOM-050-SCFI-2004|2022-01-04 16:25:02|
3251|2000021|160|73181606|3|EN|X|NOM-050-SCFI-2004|2022-01-04 16:25:01|
3251|2000163|160|73182202|3|EN|X|NOM-050-SCFI-2004|2022-01-13 16:07:01|
3251|2000021|160|73181599|1|MA| ||2022-01-04 16:25:01|
3251|2000027|160|73181599|1|MA| ||2022-01-04 14:00:01|
3129|1007241|170|73269099|3|XP|C6|UM|2022-01-05 16:58:00|
3251|2000026|160|73181599|1|EN|X|NOM-050-SCFI-2004|2022-01-04 13:53:03|
3251|2000164|160|87089412|5|MA| ||2022-01-13 16:08:00|
3172|2000087|640|73181606|1|EN|X|NOM-050-SCFI-2004|2022-01-21 16:02:01|
3129|2000106|240|73181606|1|EN|X|NOM-050-SCFI-2004|2022-01-19 13:20:32|
3251|2000019|160|73181599|1|MA| ||2022-01-04 13:53:01|
3251|2000027|160|73182302|3|EN|X|NOM-050-SCFI-2004|2022-01-04 14:00:01|
3251|2000025|160|73182999|5|MA| ||2022-01-04 16:26:01|
3251|2000026|160|73181599|2|EN|X|NOM-050-SCFI-2004|2022-01-04 13:53:03|
3251|2000025|160|73181599|1|EN|X|NOM-050-SCFI-2004|2022-01-04 16:26:01|
3251|2000025|160|73182302|4|MA| ||2022-01-04 16:26:01|
3129|1007243|170|73269099|4|XP|C6|UM|2022-01-06 15:25:00|
3251|2000027|160|73181606|2|EN|X|NOM-050-SCFI-2004|2022-01-04 14:00:01|
3251|2000099|160|73269099|5|MA| ||2022-01-07 16:17:01|
3251|2000099|160|73181599|2|MA| ||2022-01-07 16:17:01|
3172|2000016|640|73181606|1|EN|X|NOM-050-SCFI-2004|2022-01-05 15:51:05|
3251|2000100|160|73181599|2|MA| ||2022-01-07 16:32:11|
3251|2000021|160|73269099|4|MA| ||2022-01-04 16:25:01|
3251|2000022|160|73181599|1|MA| ||2022-01-04 16:25:02|
3251|2000022|160|73181606|2|EN|X|NOM-050-SCFI-2004|2022-01-04 16:25:02|
3251|2000027|160|73182302|3|MA| ||2022-01-04 14:00:01|
3251|2000025|160|73182302|4|EN|X|NOM-050-SCFI-2004|2022-01-04 16:26:01|
3251|2000023|160|73181606|2|MA| ||2022-01-04 16:25:03|
3251|2000023|160|73181599|1|MA| ||2022-01-04 16:25:03|
3172|2000016|640|73181606|2|EN|X|NOM-050-SCFI-2004|2022-01-05 15:51:05|
3251|2000020|160|73181599|1|EN|X|NOM-050-SCFI-2004|2022-01-04 13:53:02|
3251|2000100|160|73181599|1|EN|X|NOM-050-SCFI-2004|2022-01-07 16:32:11|
3251|2000020|160|73181599|1|MA| ||2022-01-04 13:53:02|
3251|2000100|160|73181599|1|MA| ||2022-01-07 16:32:11|
3251|2000099|160|73181599|1|EN|X|NOM-050-SCFI-2004|2022-01-07 16:17:01|
3251|2000025|160|73181606|2|EN|X|NOM-050-SCFI-2004|2022-01-04 16:26:01|
3251|2000100|160|73181599|2|EN|X|NOM-050-SCFI-2004|2022-01-07 16:32:11|
3251|2000024|160|73181599|1|MA| ||2022-01-04 16:26:01|
3251|2000026|160|73182302|4|EN|X|NOM-050-SCFI-2004|2022-01-04 13:53:03|
3251|2000163|160|73182202|3|MA| ||2022-01-13 16:07:01|
3251|2000025|160|73181606|2|MA| ||2022-01-04 16:26:01|
3129|1007253|170|73269099|1|XP|C6|UM|2022-01-17 09:30:01|
3251|2000163|160|73181599|1|EN|X|NOM-050-SCFI-2004|2022-01-13 16:07:01|
3251|2000021|160|73181599|2|MA| ||2022-01-04 16:25:01|
3251|2000026|160|73269099|5|MA| ||2022-01-04 13:53:03|
3251|2000027|160|73182999|4|MA| ||2022-01-04 14:00:01|
3251|2000020|160|73181606|2|EN|X|NOM-050-SCFI-2004|2022-01-04 13:53:02|
3251|2000023|160|73182999|3|MA| ||2022-01-04 16:25:03|
3251|2000021|160|73181599|1|EN|X|NOM-050-SCFI-2004|2022-01-04 16:25:01|
3251|2000023|160|73181599|1|EN|X|NOM-050-SCFI-2004|2022-01-04 16:25:03|
3251|2000023|160|73181606|2|EN|X|NOM-050-SCFI-2004|2022-01-04 16:25:03|
3251|2000163|160|73182302|4|EN|X|NOM-050-SCFI-2004|2022-01-13 16:07:01|
3251|2000019|160|73269099|3|MA| ||2022-01-04 13:53:01|
3251|2000027|160|73269099|5|MA| ||2022-01-04 14:00:01|
3251|2000162|160|73181599|1|MA| ||2022-01-13 17:02:02|
3251|2000025|160|73181599|1|MA| ||2022-01-04 16:26:01|
3251|2000027|160|73181606|2|MA| ||2022-01-04 14:00:01|
3251|2000019|160|73181606|2|MA| ||2022-01-04 13:53:01|
3251|2000025|160|73269099|6|MA| ||2022-01-04 16:26:01|
3251|2000100|160|73181606|3|EN|X|NOM-050-SCFI-2004|2022-01-07 16:32:11|
3251|2000025|160|87089412|7|MA| ||2022-01-04 16:26:01|
3251|2000024|160|73269099|3|MA| ||2022-01-04 16:26:01|
3129|1007245|170|73269099|4|XP|C6|UM|2022-01-12 08:54:01|
3251|2000161|160|73181599|2|MA| ||2022-01-13 16:09:00|
3251|2000163|160|73182302|4|MA| ||2022-01-13 16:07:01|
3251|2000025|160|87089412|7|EN|X|NOM-050-SCFI-2004|2022-01-04 16:26:01|
3172|2000087|640|73181606|2|EN|X|NOM-050-SCFI-2004|2022-01-21 16:02:01|
3129|1007236|170|73269099|6|XP|C6|UM|2022-01-18 17:18:02|
